,,,E16.5#14-51-2,E16.5#14-51-4,E16.5#14-51-9,E18.5 # 1,E18.5 # 2,E18.5 # 3,P0.5 A,P0.5 B,P0.5 C,P1 d,P1 h,P1 i ,P1.5 c,P1.5 d,P1.5 g,P2.5 c,P2.5 g,P2.5 j,P4 a,P4 b,P4 f,P5 a,P5 b,P5 f,P7 a,P7 b,P7 c,P10 d,P10 e,P10 f,P13.5 a,P13.5 b,P13.5 c,P15 a,P15 b,P15 c,P19 c,P19 e,P19 f,P23 d,P23 e,P23 f ,P28c,P28d,P28e
CD2-associated protein ,Q9JLQ0,70 kDa,0.00,4.61,0.00,1.19,4.62,0.00,4.65,4.98,5.01,5.02,2.41,0.00,1.97,2.64,4.70,1.99,1.10,0.00,3.28,3.84,4.19,3.78,0.00,3.29,0.00,2.48,1.98,1.77,3.39,3.64,0.00,1.81,3.70,3.08,3.61,0.00,1.83,3.74,1.85,0.00,1.50,0.00,0.00,0.00,0.00
CD90.1 ,Q53YX2,18 kDa,3.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.00,4.81,3.44,1.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.96,0.00,0.00,2.73,1.95,0.90,1.85,2.05,0.90,0.00,1.83,0.00,0.00,0.00,1.50,0.00,0.00,2.42,3.26
CD97 antigen ,Q9Z0M6,90 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,3.54,0.85,0.91,0.00,3.62,0.92,1.03,0.00,0.00,4.57,0.00,2.78,0.00,0.75,0.00,0.78,0.00,0.00
Cdc42 effector protein 4 ,Q9JM96,38 kDa,0.00,0.00,0.00,1.19,2.31,0.00,0.00,0.00,1.25,0.00,0.00,0.00,0.00,0.88,1.88,0.00,0.00,0.00,0.82,3.07,3.35,6.61,0.00,4.11,0.00,0.00,0.00,0.00,4.24,3.64,0.97,1.81,1.85,1.03,2.71,0.00,0.91,1.87,3.71,2.59,6.76,0.00,3.12,0.00,0.00
Cell adhesion molecule 1 ,Q8R5M8,50 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.00,0.00,0.00,1.83,0.00,3.71,1.72,3.76,0.00,1.56,0.00,0.00
Cell surface glycoprotein MUC18 ,Q8R2Y2,72 kDa,1.64,0.00,0.00,4.76,5.77,0.00,6.97,2.49,3.76,3.01,0.00,0.00,5.92,7.91,5.64,5.96,2.19,4.19,1.64,6.91,5.03,6.61,5.15,8.22,8.55,19.02,13.83,12.39,10.17,5.45,15.59,18.08,11.09,12.31,10.84,1.74,6.39,5.62,9.27,9.48,6.01,8.41,3.12,1.21,0.00
Cellular nucleic acid-binding protein ,P53996,20 kDa,3.28,5.76,7.22,4.76,3.46,0.00,4.65,4.98,5.01,3.01,2.41,2.29,3.94,3.51,5.64,3.97,4.39,4.19,3.28,1.53,1.68,3.78,4.12,3.29,1.90,3.31,2.96,0.00,1.70,1.82,3.90,0.00,1.85,2.05,1.81,0.00,6.39,5.62,0.00,1.72,4.51,0.93,1.56,0.00,2.17
Ceruloplasmin ,Q61147,121 kDa,0.00,0.00,0.00,0.00,0.00,0.00,16.26,7.47,7.51,20.09,20.45,14.91,4.93,7.91,8.46,14.89,7.68,6.28,13.14,13.05,4.19,0.94,5.15,10.68,17.11,23.98,12.84,22.13,6.78,23.63,19.49,16.27,15.71,21.54,27.09,10.44,35.61,25.28,18.53,31.03,20.29,20.55,21.05,10.87,23.90
CGG triplet repeat-binding protein 1 ,Q8BHG9,19 kDa,0.00,1.15,0.00,0.00,2.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,1.77,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00
Charged multivesicular body protein 2a ,Q9DB34,25 kDa,1.64,0.00,0.00,0.00,0.00,0.00,0.00,1.25,3.76,1.00,1.20,0.00,2.96,5.27,5.64,1.99,3.29,5.23,2.46,0.00,3.35,0.00,1.03,1.64,0.00,1.65,0.00,3.54,3.39,1.82,3.90,1.81,4.62,2.05,2.71,0.00,0.91,3.74,3.71,1.72,3.76,3.74,3.90,3.62,3.26
Charged multivesicular body protein 2b ,Q8BJF9,24 kDa,13.14,2.30,3.61,2.38,2.31,3.04,1.16,1.25,3.76,3.01,4.81,2.29,0.99,0.00,0.00,0.00,1.10,3.14,1.64,0.77,0.00,0.00,0.00,1.64,0.95,0.83,0.00,0.00,0.85,1.82,0.97,1.81,0.92,2.05,0.90,0.00,0.00,0.00,0.00,0.00,3.01,0.93,0.00,0.00,0.00
Charged multivesicular body protein 3 ,Q9CQ10,25 kDa,0.00,0.00,0.00,0.00,1.15,0.00,0.00,0.00,0.00,6.03,0.00,0.00,0.00,0.00,0.00,1.99,1.10,0.00,0.00,0.77,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,0.91,0.00,0.90,0.00,1.03,1.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,1.21,0.00
Charged multivesicular body protein 4b ,Q9D8B3,25 kDa,9.85,0.00,7.22,7.13,11.54,9.12,8.13,11.21,6.26,9.04,6.02,8.03,5.92,7.03,3.76,6.95,7.68,12.56,4.93,2.30,4.19,4.72,8.24,4.11,6.65,9.10,8.89,4.43,5.09,6.36,5.85,3.62,5.54,6.15,5.42,10.44,3.65,0.94,4.63,6.89,4.51,11.21,7.02,14.49,9.78
Charged multivesicular body protein 5 ,Q9D7S9,25 kDa,0.00,4.61,0.00,9.51,6.93,0.00,2.32,4.98,2.50,8.04,8.42,8.03,4.93,7.03,6.58,6.95,7.68,11.51,5.75,8.44,7.54,7.56,4.12,5.75,4.75,6.62,1.98,5.31,12.71,10.91,6.82,9.04,11.09,10.26,9.03,0.00,10.04,9.36,12.05,6.89,13.53,9.34,11.69,1.21,2.17
Charged multivesicular body protein 6 ,P0C0A3,23 kDa,0.00,0.00,0.00,4.76,4.62,0.00,0.00,4.98,5.01,4.02,1.20,0.00,1.97,3.51,4.70,1.99,0.00,4.19,4.93,2.30,5.03,2.83,0.00,0.82,0.00,0.00,1.98,1.77,7.63,3.64,0.97,1.81,3.70,0.00,3.61,0.00,4.57,2.81,0.00,0.86,1.50,0.93,6.24,0.00,0.00
Chemokine (C-X-C motif) ligand 7/ isoform CRA_b ,Q9EQI5,12 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00,0.94,0.00,0.00,0.00,2.46,1.53,0.00,0.00,0.00,0.82,0.00,0.00,0.00,0.00,1.70,0.00,0.00,0.00,0.92,0.00,0.00,0.00,0.00,3.74,1.85,6.03,1.50,5.60,4.68,0.00,8.69
Chitinase-3-like protein 1 ,Q61362,44 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.88,0.00,0.00,0.00,0.00,4.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chitinase-like protein 3 ,O35744,44 kDa,0.00,0.00,0.00,0.00,0.00,0.00,4.65,0.00,0.00,9.04,12.03,10.32,5.92,3.51,1.88,2.98,2.19,0.00,0.00,3.84,2.51,0.00,0.00,0.00,7.60,4.96,0.00,7.97,0.00,5.45,7.80,5.42,7.39,5.13,15.35,5.22,6.39,7.49,3.71,22.41,5.26,11.21,9.35,13.28,11.95
Chloride intracellular channel protein 1 ,Q9Z1Q5,27 kDa,6.57,0.00,1.81,0.00,6.93,1.52,1.16,6.23,6.26,10.04,0.00,6.88,3.94,3.51,2.82,3.97,2.19,3.14,7.39,7.67,13.41,4.72,13.39,11.50,8.55,8.27,5.93,6.20,4.24,6.36,7.80,9.04,5.54,6.15,9.03,0.00,6.39,13.11,16.68,11.20,12.78,10.27,13.25,6.04,4.35
Chloride intracellular channel protein 3 ,Q9D7P7,27 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.02,2.41,3.44,0.99,4.39,1.88,2.98,0.00,0.00,5.75,5.37,0.00,0.00,0.00,2.46,0.00,0.00,0.00,0.00,1.70,0.00,1.95,4.52,3.70,0.00,7.22,0.00,0.00,12.17,2.78,0.86,6.76,2.80,8.57,1.21,0.00
Chloride intracellular channel protein 4 ,Q9QYB1,29 kDa,3.28,8.06,1.81,23.78,21.93,3.04,6.97,11.21,2.50,13.06,22.86,24.09,11.83,19.33,16.93,13.90,21.95,6.28,22.99,17.65,15.09,9.45,16.47,27.93,11.41,18.19,12.84,25.67,23.73,28.18,20.46,31.64,24.95,20.51,42.44,26.11,18.26,23.40,18.53,22.41,37.58,32.69,28.84,18.11,17.38
Chloride intracellular channel protein 5 ,Q8BXK9,28 kDa,0.00,0.00,0.00,13.08,11.54,7.60,13.94,18.68,18.78,15.07,27.67,27.53,12.82,10.54,18.81,24.81,26.34,17.79,9.03,16.11,8.38,11.34,21.62,11.50,12.36,14.88,22.72,24.78,14.41,28.18,29.23,35.25,33.26,40.00,30.70,29.59,35.61,38.38,39.85,34.47,37.58,38.30,47.55,37.44,45.63
Chromobox homolog 1 (Drosophila HP1 beta)/ isoform CRA_a ,Q9CYJ8,17 kDa,22.99,13.83,0.00,0.00,11.54,0.00,0.00,0.00,17.53,19.08,0.00,0.00,10.85,10.54,0.00,12.90,13.17,17.79,9.85,9.98,15.93,14.17,7.21,0.00,12.36,12.40,0.00,12.39,9.32,18.18,11.69,20.79,12.93,14.36,16.25,0.00,6.39,0.00,13.90,9.48,7.52,11.21,7.80,6.04,10.86
Chromobox homolog 3 (Drosophila HP1 gamma) ,Q32P00,21 kDa,34.48,31.11,10.83,23.78,17.31,15.20,19.75,14.95,25.04,22.10,14.44,14.91,10.85,11.42,18.81,16.87,12.07,16.74,16.42,13.81,20.95,20.79,14.42,12.32,18.06,15.71,9.88,18.59,12.71,25.45,17.54,20.79,12.01,22.56,17.16,0.00,10.04,14.04,18.53,10.34,8.27,9.34,8.57,4.83,13.04
Chromobox protein homolog 5 ,Q61686,22 kDa,1.64,2.30,5.42,0.00,0.00,4.56,4.65,2.49,3.76,0.00,3.61,3.44,3.94,0.00,1.88,2.98,3.29,0.00,0.00,1.53,1.68,0.00,2.06,0.00,0.00,0.83,0.00,1.77,0.00,0.00,5.85,1.81,0.00,2.05,1.81,0.00,0.00,1.87,1.85,1.72,0.00,0.00,0.00,0.00,0.00
Citrate lyase subunit beta-like protein/ mitochondrial ,Q8R4N0,38 kDa,6.57,2.30,7.22,2.38,0.00,4.56,2.32,4.98,0.00,2.01,0.00,1.15,0.99,3.51,1.88,0.99,0.00,3.14,0.00,3.84,0.00,1.89,0.00,0.82,0.00,0.00,1.98,0.00,0.00,1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Clathrin heavy chain ,Q5SXR6,192 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.28,0.00,0.00,0.00,0.00,0.00,0.00,3.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,3.08,0.00,0.00,0.91,0.00,0.00,0.86,0.00,0.93,0.00,0.00,0.00
Clathrin light chain A ,O08585,26 kDa,0.00,0.00,0.00,0.00,0.00,0.00,4.65,0.00,2.50,0.00,1.20,1.15,2.96,0.88,1.88,0.99,0.00,1.05,0.82,0.00,1.68,0.00,0.00,0.00,0.95,2.48,3.95,6.20,0.00,0.91,4.87,0.90,1.85,5.13,1.81,0.00,0.91,1.87,0.00,0.86,0.75,5.60,1.56,2.42,1.09
Clathrin light chain B ,Q6IRU5,25 kDa,0.00,0.00,0.00,1.19,2.31,0.00,5.81,2.49,5.01,0.00,4.81,4.59,0.00,3.51,0.00,0.00,0.00,1.05,0.00,1.53,0.00,0.00,2.06,1.64,0.00,1.65,0.00,2.66,0.00,0.91,0.00,1.81,0.92,0.00,0.00,0.00,0.00,0.00,0.00,1.72,3.01,1.87,1.56,2.42,1.09
Cleavage and polyadenylation specificity factor subunit 5 ,Q9CQF3,26 kDa,6.57,8.06,3.61,8.32,4.62,4.56,4.65,8.72,0.00,13.06,0.00,1.15,3.94,5.27,5.64,7.94,6.58,1.05,4.93,6.91,1.68,6.61,9.27,8.22,6.65,4.13,7.90,8.85,8.48,8.18,10.72,9.94,11.09,12.31,5.42,0.00,7.30,1.87,0.93,0.00,2.25,0.93,1.56,3.62,2.17
Cleavage and polyadenylation-specificity factor subunit 6 ,H3BJW3 (+1),63 kDa,8.21,11.52,0.00,5.94,5.77,0.00,1.16,4.98,1.25,7.03,8.42,5.74,0.00,5.27,6.58,4.96,4.39,7.32,7.39,6.14,0.84,7.56,2.06,8.22,3.80,4.96,0.99,2.66,3.39,7.27,4.87,7.23,11.09,5.13,3.61,0.00,4.57,0.94,1.85,0.00,1.50,0.00,0.78,0.00,0.00
Cleavage stimulation factor subunit 1 ,Q99LC2,48 kDa,0.00,0.00,3.61,1.19,2.31,0.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.00,0.00,0.00,1.98,0.89,0.85,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Coactosin-like protein ,Q9CQI6,16 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.97,0.00,0.00,0.00,0.00,0.00,0.82,0.00,1.68,0.00,1.03,0.00,2.85,0.00,0.00,0.00,0.00,0.00,0.00,1.81,1.85,0.00,0.00,0.00,0.00,0.94,1.85,0.00,0.00,0.00,0.00,1.21,1.09
Coagulation factor XIII A chain ,Q8BH61,83 kDa,4.93,0.00,0.00,5.94,2.31,0.00,3.48,4.98,6.26,0.00,10.83,3.44,3.94,7.91,3.76,1.99,0.00,2.09,0.82,2.30,0.00,0.94,0.00,3.29,0.00,1.65,1.98,0.00,1.70,0.00,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cofilin-1 ,P18760,19 kDa,11.49,6.91,12.64,20.21,18.47,15.20,27.88,18.68,12.52,13.06,8.42,10.32,22.68,14.06,22.57,14.89,10.97,12.56,14.78,14.58,28.50,14.17,15.44,20.54,15.21,21.50,14.82,11.51,11.02,10.91,17.54,9.94,10.16,7.18,15.35,13.92,11.87,11.23,17.61,4.31,6.01,12.14,14.03,9.66,8.69
Cofilin-2 ,P45591,19 kDa,0.00,1.15,7.22,0.00,0.00,0.00,6.97,2.49,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.00,0.00,0.00,0.00,2.30,2.51,0.00,0.00,0.00,0.00,2.48,2.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.61,0.00,5.48,7.49,0.00,0.00,3.01,0.00,2.34,0.00,0.00
Coiled-coil domain-containing protein 43 ,Q9CR29,25 kDa,4.93,0.00,3.61,1.19,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.94,0.99,1.10,1.05,1.64,0.77,0.00,0.00,0.00,2.46,0.00,0.00,0.99,0.89,1.70,2.73,2.92,3.62,2.77,4.10,1.81,0.00,0.00,0.00,0.00,1.72,3.01,0.00,0.00,0.00,0.00
Coiled-coil domain-containing protein 58 ,Q8R3Q6,17 kDa,1.64,2.30,0.00,1.19,1.15,1.52,2.32,0.00,0.00,1.00,0.00,0.00,0.00,3.51,1.88,0.00,0.00,0.00,1.64,2.30,2.51,1.89,0.00,0.00,0.00,3.31,1.98,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Coiled-coil-helix-coiled-coil-helix domain-containing protein 2/ mitochondrial ,Q9D1L0,16 kDa,6.57,1.15,5.42,5.94,6.93,0.00,2.32,2.49,0.00,0.00,1.20,1.15,3.94,1.76,1.88,1.99,0.00,3.14,1.64,1.53,2.51,0.00,0.00,2.46,0.95,1.65,1.98,2.66,0.00,0.91,1.95,0.00,0.00,2.05,1.81,5.22,0.00,0.00,0.00,1.72,2.25,0.93,0.78,0.00,4.35
Cold-inducible RNA-binding protein ,P60824,19 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.53,0.00,0.00,0.00,1.64,1.90,0.00,0.00,0.00,0.85,0.91,1.95,2.71,0.00,0.00,1.81,0.00,1.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Collagen alpha-1(I) chain ,P11087,138 kDa,3.28,0.00,0.00,2.38,1.15,0.00,0.00,0.00,0.00,5.02,0.00,0.00,0.00,2.64,0.94,0.00,0.00,0.00,2.46,1.53,0.84,0.00,0.00,2.46,0.95,3.31,2.96,1.77,3.39,3.64,3.90,2.71,2.77,7.18,0.00,0.00,1.83,0.00,4.63,3.45,0.00,6.54,3.12,8.45,7.60
Collagen alpha-1(IV) chain ,P02463,161 kDa,4.93,2.30,0.00,3.57,6.93,9.12,6.97,7.47,1.25,4.02,2.41,2.29,10.85,3.51,4.70,2.98,0.00,9.42,7.39,4.60,4.19,4.72,6.18,7.39,4.75,5.79,5.93,0.00,5.93,2.73,1.95,2.71,2.77,2.05,3.61,0.00,6.39,6.55,6.49,4.31,5.26,1.87,3.12,0.00,0.00
Collagen alpha-1(VI) chain ,Q04857,108 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.19,0.00,0.00,0.84,0.00,0.00,0.00,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.03,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.00,0.00,0.00,0.00
Collagen alpha-1(XIV) chain ,Q80X19,193 kDa,0.00,0.00,0.00,0.00,0.00,0.00,6.97,3.74,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Collagen alpha-1(XV) chain ,O35206,140 kDa,0.00,1.15,0.00,2.38,1.15,0.00,2.32,3.74,0.00,5.02,0.00,0.00,2.96,5.27,1.88,0.00,0.00,0.00,0.00,0.77,0.84,0.00,0.00,0.00,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Collagen alpha-1(XVIII) chain ,P39061,182 kDa,3.28,0.00,0.00,2.38,2.31,6.08,1.16,2.49,3.76,2.01,2.41,6.88,4.93,3.51,4.70,3.97,4.39,4.19,6.57,4.60,3.35,3.78,5.15,2.46,4.75,0.00,0.00,3.54,4.24,1.82,2.92,2.71,4.62,2.05,2.71,1.74,6.39,0.94,1.85,2.59,2.25,3.74,6.24,8.45,8.69
Collagen alpha-2(I) chain ,Q01149,130 kDa,3.28,2.30,1.81,0.00,0.00,1.52,3.48,2.49,2.50,3.01,0.00,0.00,0.00,2.64,1.88,1.99,2.19,2.09,4.93,6.91,3.35,2.83,4.12,1.64,4.75,0.00,0.00,2.66,2.54,1.82,1.95,0.90,1.85,5.13,0.00,0.00,0.00,0.94,1.85,7.76,0.00,3.74,3.12,21.74,15.21
Collagen alpha-2(IV) chain ,P08122,167 kDa,0.00,0.00,0.00,0.00,2.31,1.52,6.97,3.74,6.26,6.03,6.02,3.44,7.89,1.76,3.76,7.94,7.68,7.32,3.28,6.14,7.54,3.78,6.18,2.46,7.60,7.44,4.94,2.66,5.09,1.82,2.92,0.90,2.77,7.18,5.42,0.00,4.57,4.68,3.71,1.72,3.76,3.74,3.12,4.83,5.43
Complement C3 ,P01027,186 kDa,0.00,0.00,0.00,0.00,0.00,0.00,1.16,0.00,5.01,0.00,0.00,4.59,0.00,0.00,0.94,0.00,2.19,0.00,0.00,0.00,0.00,0.00,4.12,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.51,0.00,0.00,0.00,0.00,0.00
Complement component 1 Q subcomponent-binding protein/ mitochondrial ,O35658,31 kDa,4.93,6.91,1.81,7.13,6.93,6.08,1.16,1.25,1.25,2.01,1.20,0.00,0.00,3.51,0.94,0.00,0.00,0.00,4.11,1.53,0.84,5.67,0.00,3.29,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.00,1.50,0.00,0.00,0.00,0.00
Complement component C1q receptor ,O89103,69 kDa,0.00,0.00,0.00,1.19,0.00,0.00,5.81,4.98,2.50,10.04,2.41,4.59,2.96,2.64,5.64,1.99,5.49,2.09,0.00,1.53,2.51,0.00,0.00,1.64,3.80,4.96,1.98,7.08,4.24,4.55,4.87,3.62,8.31,6.15,4.52,0.00,1.83,4.68,4.63,0.00,4.51,1.87,6.24,3.62,6.52
Complement factor H ,P06909,139 kDa,0.00,0.00,0.00,0.00,0.00,0.00,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.00,0.00,2.46,1.53,0.00,0.00,0.00,1.64,0.00,0.83,0.00,2.66,0.00,0.00,0.00,0.00,0.00,0.00,8.13,0.00,2.74,4.68,0.93,16.37,3.76,0.93,6.24,0.00,0.00
COP9 signalosome complex subunit 5 ,O35864,38 kDa,0.00,0.00,1.81,4.76,3.46,0.00,3.48,3.74,0.00,5.02,1.20,2.29,1.97,0.00,4.70,2.98,0.00,1.05,1.64,3.84,0.84,6.61,4.12,2.46,1.90,0.83,5.93,3.54,0.85,2.73,0.97,2.71,0.00,1.03,1.81,0.00,1.83,3.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Copine-1 ,Q8C166,59 kDa,6.57,6.91,0.00,13.08,8.08,1.52,0.00,1.25,0.00,0.00,0.00,0.00,2.96,1.76,7.52,1.99,4.39,1.05,18.06,8.44,14.25,8.50,2.06,15.61,0.00,8.27,10.87,4.43,11.02,0.00,0.00,0.00,0.92,0.00,2.71,0.00,0.91,6.55,5.56,6.03,6.01,4.67,12.47,6.04,4.35
Copine-3 ,Q8BT60,60 kDa,9.85,20.74,12.64,9.51,6.93,6.08,2.32,0.00,5.01,0.00,8.42,3.44,2.96,12.30,10.35,12.90,13.17,5.23,11.50,13.81,8.38,13.23,13.39,9.04,4.75,2.48,10.87,9.74,16.95,9.09,8.77,8.13,6.47,8.20,14.45,0.00,0.91,9.36,8.34,5.17,10.52,5.60,10.13,6.04,6.52
Copper transport protein ATOX1 ,O08997,7 kDa,0.00,0.00,0.00,1.19,0.00,0.00,2.32,1.25,0.00,2.01,0.00,1.15,3.94,1.76,4.70,0.00,0.00,0.00,0.82,0.77,1.68,3.78,6.18,0.00,1.90,2.48,0.00,3.54,4.24,4.55,0.97,2.71,7.39,3.08,0.90,0.00,0.91,1.87,0.93,1.72,0.75,2.80,1.56,0.00,0.00
Craniofacial development protein 1 ,O88271,33 kDa,4.93,2.30,12.64,0.00,3.46,9.12,3.48,3.74,2.50,1.00,3.61,2.29,1.97,2.64,3.76,3.97,4.39,3.14,3.28,2.30,1.68,1.89,7.21,2.46,3.80,5.79,5.93,7.08,5.93,3.64,7.80,7.23,6.47,4.10,2.71,0.00,1.83,5.62,3.71,3.45,1.50,5.60,1.56,2.42,4.35
Creatine kinase B-type ,Q04447,43 kDa,0.00,3.46,0.00,2.38,0.00,0.00,1.16,6.23,8.77,2.01,0.00,5.74,2.96,1.76,4.70,3.97,3.29,0.00,8.21,8.44,19.28,4.72,19.56,9.04,12.36,9.10,18.77,12.39,11.87,14.54,19.49,20.79,19.40,13.33,17.16,3.48,14.61,14.04,20.39,19.82,18.04,22.42,19.49,7.25,9.78
Creatine kinase M-type ,P07310,43 kDa,11.49,11.52,7.22,28.53,10.39,12.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.00,0.00,2.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.59,1.50,0.93,0.00,0.00,0.00
Crk-like protein ,P47941,34 kDa,0.00,1.15,0.00,0.00,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,1.99,0.00,0.00,0.82,0.77,2.51,4.72,0.00,0.00,1.90,1.65,0.99,0.00,1.70,2.73,1.95,2.71,1.85,2.05,4.52,0.00,0.91,4.68,0.93,0.86,0.75,0.00,2.34,0.00,0.00
CUGBP Elav-like family member 2 ,Q9Z0H4,54 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.97,0.00,3.76,0.99,0.00,0.00,1.64,0.00,0.84,0.94,3.09,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cyclic AMP-responsive element-binding protein 1 ,Q01147 (+2),37 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.01,0.00,0.00,0.99,0.00,0.00,0.99,0.00,0.00,0.82,3.07,0.00,1.89,1.03,2.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.81,2.77,1.03,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00
Cystatin-B ,Q62426,11 kDa,0.00,0.00,0.00,1.19,2.31,0.00,0.00,0.00,1.25,1.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.53,1.68,0.00,0.00,0.82,0.00,0.83,0.00,0.00,0.00,0.91,0.00,1.81,0.00,0.00,2.71,0.00,0.00,1.87,0.00,0.86,0.00,0.00,0.00,0.00,0.00
Cysteine and glycine-rich protein 1 ,P97315,21 kDa,6.57,16.13,10.83,19.02,16.16,16.72,18.58,11.21,21.29,0.00,9.62,3.44,14.79,22.84,18.81,11.91,19.75,10.46,22.99,17.65,10.06,22.68,20.59,22.18,16.16,22.33,36.55,23.90,36.45,31.82,26.31,24.41,22.17,20.51,19.87,34.81,7.30,15.91,26.87,15.51,22.55,15.88,25.72,12.08,14.12
Cysteine and glycine-rich protein 2 ,P97314,21 kDa,0.00,8.06,0.00,1.19,2.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.70,0.00,0.00,0.00,1.64,0.77,0.00,0.94,0.00,4.11,0.00,0.00,4.94,0.00,4.24,0.00,0.00,0.00,0.00,0.00,1.81,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00
